source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
16-72442,17-71407,2016-05-22,2017-05-24,NAME:chu de nantes,NAME_FALLBACK,12.056504599211562,2017-06-17,0.7884362680683311,0.8685939553219448,0.019518743852474284,0.0,0.6,0.2839800491788522,False,True,6,10,0.02053219448094623
16-72442,17-14986,2016-05-22,2017-02-02,NAME:chu de nantes,NAME_FALLBACK,8.409986859395532,2017-06-17,4.434954007884363,0.2608409986859396,0.037543686599340605,0.2,0.6,0.1983505399812541,False,False,7,10,0.02053219448094623
16-72442,17-35545,2016-05-22,2017-03-16,NAME:chu de nantes,NAME_FALLBACK,9.789750328515112,2017-06-17,3.055190538764783,0.4908015768725361,0.018304277887797406,0.0,0.6,0.18910689147886312,False,False,8,10,0.02053219448094623
16-72442,17-25915,2016-05-22,2017-02-22,NAME:chu de nantes,NAME_FALLBACK,9.067017082785808,2017-06-17,3.7779237844940865,0.37034603591765225,0.07161127742679557,0.0,0.6,0.1776504560787915,False,False,9,10,0.02053219448094623
16-72442,17-9361,2016-05-22,2017-01-19,NAME:chu de nantes,NAME_FALLBACK,7.9500657030223385,2017-06-17,4.894875164257556,0.1841874726237407,0.022487694754552874,0.0,0.6,0.11391756132002867,False,False,10,10,0.02053219448094623
16-72521,16-113197,2016-05-19,2016-07-27,NAME:ville de noirmoutier,NAME_FALLBACK,2.266754270696452,2016-11-19,3.7779237844940865,0.37034603591765225,0.7009141170696223,0.1,0.6,0.4279064499537808,True,False,1,1,0.4279064499537808
16-73142,17-20825,2016-05-20,2017-02-12,NAME:ch le mans,NAME_FALLBACK,8.804204993429698,2017-01-02,1.3469119579500657,0.775514673674989,0.008308432052978867,0.0,0.6,0.2567866196372899,False,False,1,4,0.07310768057079281
16-73142,17-48667,2016-05-20,2017-04-06,NAME:ch le mans,NAME_FALLBACK,10.545335085413928,2017-01-02,3.088042049934297,0.4853263250109505,0.006706736610741272,0.0,0.6,0.18367893906649707,False,False,2,4,0.07310768057079281
16-73142,17-66007,2016-05-20,2017-05-12,NAME:ch le mans,NAME_FALLBACK,11.727989487516425,2017-01-02,4.270696452036794,0.28821725799386766,0.015429736526474714,0.0,0.6,0.13745472228273306,False,False,3,4,0.07310768057079281
16-73142,17-80512,2016-05-20,2017-06-09,NAME:ch le mans,NAME_FALLBACK,12.64783180026281,2017-01-02,5.19053876478318,0.13491020586947,0.0016083390567192184,0.0,0.6,0.09429047013721922,False,False,4,4,0.07310768057079281
16-73199,16-75407,2016-05-23,2016-05-25,NAME:saeml la folle journee,NAME_FALLBACK,0.0657030223390276,2016-11-23,5.978975032851511,0.003504161191414834,0.030851398681291553,0.1,0.6,0.10167402983630575,True,False,1,1,0.10167402983630575
16-73215,17-13461,2016-05-23,2017-01-29,NAME:nantes metropole,NAME_FALLBACK,8.245729303547963,2016-11-23,2.2010512483574245,0.6331581252737626,0.6526362832575974,0.2,0.6,0.5067122304585997,False,False,1,16,0.22568507320936626
16-73215,16-135042,2016-05-23,2016-09-19,NAME:nantes metropole,NAME_FALLBACK,3.9093298291721417,2016-11-23,2.135348226018397,0.6441086289969338,0.0,0.2,0.6,0.28102715724923344,False,False,2,16,0.22568507320936626
16-73215,16-155479,2016-05-23,2016-10-27,NAME:nantes metropole,NAME_FALLBACK,5.157687253613666,2016-11-23,0.8869908015768725,0.8521681997371879,0.011857599712692918,0.0,0.6,0.2771922098337395,False,False,3,16,0.22568507320936626
