notice_id,publication_date,buyer_name_raw,buyer_name_normalized,buyer_key,buyer_key_type,buyer_identity_source,buyer_identity_confidence,enrichment_join_status,department_key
21-146751,2021-11-05,SDIS 29,sdis 29,NAME:sdis 29,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,19;22;29;35;53;56;61;72
21-156687,2021-11-28,Communauté de Cnes Terres de Montaigu,communaute de cnes terres de montaigu,NAME:communaute de cnes terres de montaigu,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-153063,2021-11-18,CD 44,cd 44,NAME:cd 44,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-156783,2021-11-26,CTRE HOSP UNIVERSITAIRE ANGERS,ctre hosp universitaire angers,NAME:ctre hosp universitaire angers,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-157771,2021-11-30,Rectorat de l'Académie de Nantes,rectorat de l academie de nantes,NAME:rectorat de l academie de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49
21-151331,2021-11-17,FONDATION PARTENARIALE POLYTECH,fondation partenariale polytech,NAME:fondation partenariale polytech,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-155709,2021-11-26,DIRISI,dirisi,NAME:dirisi,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,31;33;34;35;44;59;69;75;83
21-163566,2021-12-13,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-163822,2021-12-16,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-167647,2021-12-23,GEVES,geves,NAME:geves,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,37;49;53;72;86
21-161507,2021-12-08,SYDELA,sydela,NAME:sydela,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-162413,2021-12-10,Ville d'Avrillé,ville d avrille,NAME:ville d avrille,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-160384,2021-12-06,Vendée Expansion,vendee expansion,NAME:vendee expansion,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-161861,2021-12-09,COMMUNE DE SAINT NAZAIRE,commune de saint nazaire,NAME:commune de saint nazaire,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
22-6934,2022-01-13,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
22-12003,2022-01-26,Laval Agglomération,laval agglomeration,NAME:laval agglomeration,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,53
22-13674,2022-01-28,Ville de Nantes,ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
22-24441,2022-02-18,SEMITAN mandataire de Nantes Métropole,semitan mandataire de nantes metropole,NAME:semitan mandataire de nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
22-26998,2022-02-24,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
22-19299,2022-02-09,Ville de Bouguenais,ville de bouguenais,NAME:ville de bouguenais,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
22-19646,2022-02-09,Rectorat de l'Académie de Nantes,rectorat de l academie de nantes,NAME:rectorat de l academie de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49
22-12758,2022-02-03,Ville d'Angers,ville d angers,NAME:ville d angers,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
22-24902,2022-02-21,Angers Loire Métropole,angers loire metropole,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49;53;72
22-16199,2022-02-03,Réseau Canopé,reseau canope,NAME:reseau canope,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,11;13;15;53;62;67;75;86
22-41834,2022-03-22,Ville de Nantes,ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
