source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
16-61061,16-127032,False,TEXT_MIN,0.1773061344659657,1.0,0.5899283691393036,0.2437252626700592,INITIAL,INITIAL,,,20,23
16-61484,17-68186,False,TEXT_MIN,0.2932189424164633,0.2,0.3932354778527704,0.0375536333196814,INITIAL,INITIAL,,,25,18
16-62960,17-74632,False,TEXT_MIN,0.0514976747528817,1.0,0.4582913784543539,0.1008484268260395,INITIAL,INITIAL,,,12,19
16-65767,16-92246,True,,0.6152554187527791,0.1,0.3678120203041647,0.3678120203041647,INITIAL,INITIAL,,,4,12
16-68672,16-151274,False,TEXT_MIN,0.272343560608854,0.1,0.4024687350435851,0.1430848061071597,INITIAL,INITIAL,,,13,17
16-70219,16-168154,False,TEXT_MIN,0.0198038264300216,0.2,0.3714560873889219,0.0977793127381319,INITIAL,INITIAL,,,17,21
16-72442,17-93666,False,TEXT_MIN,0.0406924091896903,1.0,0.6023413357700491,0.0205321944809462,INITIAL,INITIAL,,,22,13
16-72521,16-113197,True,,0.7009141170696223,0.1,0.4279064499537808,0.4279064499537808,INITIAL,INITIAL,,,4,7
16-73215,17-13461,True,,0.6526362832575974,0.2,0.5067122304585997,0.2256850732093662,INITIAL,INITIAL,,,11,14
16-73319,17-15684,True,,0.3930005776923366,0.2,0.4541664965418578,0.0672617700824546,INITIAL,INITIAL,,,31,11
16-73358,16-166758,True,,0.3115353076491565,1.0,0.7026116020924478,0.0768032021921101,INITIAL,INITIAL,,,12,9
16-7640,16-123498,False,TEXT_MIN,0.1972660835091027,0.2,0.3911346754393116,0.0957142316733818,INITIAL,INITIAL,,,21,17
