source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-175210,19-189603,16,0.2241032254908457,False,0.00318818404859733
15-175210,20-78012,17,0.1730231266336181,False,0.0034459257809679794
15-175210,20-98264,18,0.1629022620641178,False,0.0008666098531736993
15-175210,20-98214,19,0.1629022620641178,False,0.0008666098531736993
15-175210,19-158679,20,0.1601910909093251,False,0.0005089195781096867
15-175210,20-91517,21,0.1343936698101828,False,0.003366630662630461
15-175210,19-156899,22,0.1327023474931059,False,0.003380079983837521
15-175210,19-151382,23,0.1324927349492733,False,0.003361257906126655
15-175210,20-106651,24,0.1033011406460484,False,0.0006222528817865474
15-175415,16-73319,1,0.5180802523099626,True,0.006817091283369524
15-175415,16-107267,2,0.3996977913694003,False,0.002755898159717754
15-175415,16-95598,3,0.3575636359254099,False,0.0008150121299937755
15-175415,16-79523,4,0.3242728311818163,False,0.00047355234089887203
15-175415,16-153795,5,0.2175959988584026,False,0.0011274313327038542
15-175690,20-6485,1,0.3485132057132735,True,0.0007723142373191301
15-175690,20-4011,2,0.2965660657844263,False,0.0007722213867228176
15-175690,20-64610,3,0.2778952074660135,False,0.0008977634595422122
15-176598,16-35152,1,0.4967517224855837,True,0.08850944227568779
15-176598,16-61061,2,0.326053313013612,False,0.0004603071476323976
15-176598,16-127032,3,0.2784811964898198,False,0.0007698847358846191
15-176598,16-26598,4,0.2347513486453248,False,0.00046387329825066
15-176598,16-125010,5,0.2192167445491593,False,0.0005024797033111741
15-176598,16-123593,6,0.2164416582887821,False,0.0007891432362092607
15-176598,15-189271,7,0.1682015825486847,False,0.0005708574695571127
15-178206,16-55859,1,0.3418227625154605,True,0.0005417399932052749
15-178206,16-82345,2,0.3352783002077682,False,0.0004838632555692176
15-178562,20-8882,1,0.6428772888224363,True,0.999999999999
15-178728,19-177021,1,0.20670142129689,False,0.0006729722865312442
15-178728,20-85738,2,0.1953675393627272,False,0.003614356968753017
15-178728,19-160471,3,0.0890465630311184,False,0.003793594039344332
15-178791,19-191665,1,0.6293790344280494,True,0.999999999999
15-178791,19-119269,2,0.6113635875928471,False,0.999999999999
15-178791,20-12070,3,0.5340771767320986,False,0.999999999999
15-178791,20-26585,4,0.5111688214664944,False,0.999999999999
15-178791,20-34392,5,0.4710983288531519,False,0.999999999999
15-178791,20-54283,6,0.4122393713411064,False,0.999999999999
15-178791,19-189603,7,0.3964444492465385,False,0.010201798867629175
15-178791,20-66643,8,0.38999067208172,False,0.999999999999
15-178791,19-189628,9,0.3173607276307099,False,0.0005471768637525525
15-178791,20-32203,10,0.3002948068757952,False,0.0027694200838215906
15-178791,19-158679,11,0.2819150127281262,False,0.0008323489271227974
15-178791,20-26328,12,0.2698953853436863,False,0.0006597046282226258
15-178791,19-156899,13,0.2664149841760498,False,0.0031574380593025583
15-178791,20-37940,14,0.2570022409718422,False,0.006728292328777323
15-178791,20-21049,15,0.2511902405503645,False,0.00047569621545003017
15-178791,19-151382,16,0.2488258920258565,False,0.003283951789841129
15-178791,20-11000,17,0.241281848715851,False,0.0033959309946691428
15-178791,20-25276,18,0.2161602598847507,False,0.003167682212752189
15-178791,19-123920,19,0.1971245686977223,False,0.00048175322609390864
15-178791,19-105083,20,0.1173947266339014,False,0.004287632238024287
15-178791,20-49949,21,0.1058764798138865,False,0.0041391551754080625
15-178791,19-92498,22,0.0959604906425463,False,0.0037278972090077937
15-179747,19-165120,1,0.2863815047834729,False,0.003169961427370314
15-179747,20-19986,2,0.2221862604606282,False,0.003198406194502857
15-179747,20-27417,3,0.1962170691491365,False,0.003526572978506794
15-179747,19-103545,4,0.1532150189456631,False,0.003722728027783909
