nom_acheteur,site_profil_acheteur,site_proposition,date_dernier_avis,dernier_site_en_date,profile_row_id,profile_buyer_name_raw,profile_buyer_name_normalized,date_dernier_avis_parsed,dernier_site_en_date_bool,profile_raw_value,profile_domain_normalized,profile_registered_domain,profile_subdomain,profile_url_valid,profile_is_email,profile_has_multiple_values,profile_normalization_status,profile_normalization_warning,participation_raw_value,participation_domain_normalized,participation_registered_domain,participation_subdomain,participation_url_valid,participation_is_email,participation_has_multiple_values,participation_normalization_status,participation_normalization_warning
Grand Sud Tarn-et-Garonne,www.marchespublics82.com,,2020-06-05,1,11767,Grand Sud Tarn-et-Garonne,grand sud tarn-et-garonne,2020-06-05,True,www.marchespublics82.com,marchespublics82.com,marchespublics82.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Troyes,www.marches-aube.fr,,2017-01-30,1,11768,Grand Troyes,grand troyes,2017-01-30,True,www.marches-aube.fr,marches-aube.fr,marches-aube.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Troyes,www.xmarches.fr,,2017-01-27,0,11769,Grand Troyes,grand troyes,2017-01-27,False,www.xmarches.fr,xmarches.fr,xmarches.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Troyes,www.xmarches-aube.fr,,2016-10-27,0,11770,Grand Troyes,grand troyes,2016-10-27,False,www.xmarches-aube.fr,xmarches-aube.fr,xmarches-aube.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Troyes,www.marches-aube.fr.,,2016-01-29,0,11771,Grand Troyes,grand troyes,2016-01-29,False,www.marches-aube.fr.,marches-aube.fr,marches-aube.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
GrandAngoulême agglomération,demat-ampa.fr,,2020-11-03,1,11772,GrandAngoulême agglomération,grandangouleme agglomeration,2020-11-03,True,demat-ampa.fr,demat-ampa.fr,demat-ampa.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
GrandAngoulême agglomération,marchespublics.grandangouleme.fr,,2019-04-11,0,11773,GrandAngoulême agglomération,grandangouleme agglomeration,2019-04-11,False,marchespublics.grandangouleme.fr,marchespublics.grandangouleme.fr,grandangouleme.fr,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
GrandAngoulême agglomération,www.grandangouleme.fr,,2018-03-20,0,11774,GrandAngoulême agglomération,grandangouleme agglomeration,2018-03-20,False,www.grandangouleme.fr,grandangouleme.fr,grandangouleme.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grande chancellerie Légion d'honneur,www.achatpublic.com,,2019-08-02,1,11775,Grande chancellerie Légion d'honneur,grande chancellerie legion d honneur,2019-08-02,True,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grenoble Alpes Metropole,lametro.marcoweb.fr,,2017-11-03,1,11776,Grenoble Alpes Metropole,grenoble alpes metropole,2017-11-03,True,lametro.marcoweb.fr,lametro.marcoweb.fr,marcoweb.fr,lametro,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
